AUSTRALIA - AUSTRALIAN DOLLAR/US$,EURO AREA - EURO/US$,NEW ZEALA - NEW ZELA DOLLAR/US$,UNITED KINGDOM - UNITED KINGDOM POU/US$,BRAZIL - REAL/US$,CANADA - CANADIAN DOLLAR/US$,CHINA - YUAN/US$,HONG KONG - HONG KONG DOLLAR/US$,IIA - IIAN RUPEE/US$,KOREA - WON/US$,MEXICO - MEXICAN PESO/US$,SOUTH AFRICA - RA/US$,SINGAPORE - SINGAPORE DOLLAR/US$,DENMARK - DANISH KRONE/US$,JAPAN - YEN/US$,MALAYSIA - RINGGIT/US$,NORWAY - NORWEGIAN KRONE/US$,SWEDEN - KRONA/US$,SRI LANKA - SRI LANKAN RUPEE/US$,SWITZERLA - FRANC/US$,TAIWAN - NEW TAIWAN DOLLAR/US$,THAILA - BAHT/US$
1.5835,1.246,2.284,0.6283,1.773,1.4467,8.2788,7.781,43.65,113,9.481,6.286,1.693,7.626,17.54,3.8,8.27,8.663,73.55,1.647,3.8,37.55
1.5775,1.222,2.259,0.6283,1.77,1.4457,8.2788,7.782,43.64,1129.6,9.436,6.295,1.6958,7.69,18.75,3.8,8.259,8.66,73.5,1.6426,3.8,37.75
1.5741,1.14,2.243,0.629,1.765,1.4473,8.2788,7.789,43.63,1129.5,9.42,6.299,1.6968,7.5455,19.59,3.8,8.1835,8.595,73.6,1.631,3.75,37.64
1.576,1.87,2.325,0.625,1.77,1.4443,8.2788,7.781,43.65,1124,9.399,6.32,1.6918,7.54,19.11,3.8,8.145,8.544,73.6,1.6232,3.65,37.55
1.5823,1.137,2.263,0.6228,1.77,1.45,8.2788,7.782,43.58,1121,9.4365,6.3425,1.6929,7.547,18.74,3.8,8.175,8.585,72.82,1.628,3.65,37.42
1.5918,1.155,2.346,0.628,1.767,1.4515,8.2788,7.7814,43.65,1115,9.423,6.361,1.6947,7.566,18.99,3.8,8.212,8.68,73.6,1.635,3.63,37.43
1.5926,1.222,2.542,0.6293,1.769,1.4547,8.2779,7.78,43.65,1128,9.393,6.355,1.6975,7.612,18.65,3.8,8.248,8.679,73.65,1.6435,3.72,37.49
1.5873,1.169,2.534,0.627,1.783,1.4585,8.2777,7.781,43.64,1128,9.3875,6.355,1.696,7.5743,18.75,3.8,8.2515,8.68,73.75,1.633,3.75,37.52
1.587,1.161,2.412,0.6234,1.775,1.452,8.2777,7.7814,43.75,1126,9.3715,6.3375,1.733,7.567,19.38,3.8,8.239,8.6695,73.41,1.632,3.72,37.7
1.5823,1.139,2.255,0.6231,1.777,1.4522,8.2772,7.7815,43.68,1128,9.398,6.325,1.76,7.555,11.27,3.8,8.285,8.68,73.65,1.6274,3.72,37.77
1.5893,1.152,2.371,0.6256,1.777,1.4512,8.2772,7.788,43.68,1129,9.354,6.325,1.758,7.561,11.88,3.8,8.257,8.6725,73.36,1.6282,3.765,38.11
1.5982,0.994,2.338,0.6186,1.785,1.4595,8.2773,7.7825,43.65,1135,9.427,6.313,1.785,7.435,111.4,3.8,8.145,8.5395,73.6,1.5983,3.8,38.22
1.6139,0.9983,2.597,0.6232,1.79,1.4651,8.278,7.7826,43.68,1136,9.413,6.335,1.714,7.436,111.11,3.8,8.1775,8.577,73.6,1.682,3.8,38.9
1.6276,1.69,2.547,0.6257,1.782,1.4587,8.278,7.783,43.65,1144,9.382,6.329,1.7165,7.51,11.95,3.8,8.255,8.619,73.75,1.62,3.85,38.22
1.6194,1.243,2.483,0.6286,1.774,1.455,8.2786,7.783,43.65,1137,9.378,6.312,1.711,7.6345,11.98,3.8,8.312,8.695,73.75,1.6475,3.8,37.88
1.6351,1.342,2.636,0.6275,1.779,1.4538,8.2786,7.783,43.68,1135,9.425,6.3725,1.7185,7.6975,19.17,3.8,8.3425,8.6895,73.75,1.6615,3.8,37.95
1.6247,1.37,2.555,0.6337,1.769,1.455,8.2786,7.7833,43.65,1131.31,9.3645,6.34,1.7237,7.724,19.88,3.8,8.381,8.75,73.75,1.6665,3.76,38.13
1.6483,1.39,2.66,0.631,1.769,1.447,8.2786,7.7824,43.63,1128.5,9.363,6.3525,1.7182,7.673,17.1,3.8,8.3115,8.6865,73.75,1.6568,3.75,38.11
1.6455,1.396,2.5,0.6343,1.759,1.4543,8.2787,7.7825,43.65,112.5,9.341,6.368,1.7214,7.7446,17.37,3.8,8.424,8.85,73.9,1.6714,3.75,38
1.6442,1.397,2.5,0.6325,1.744,1.451,8.2789,7.7833,43.65,112.5,9.315,6.49,1.7253,7.7415,17.8,3.8,8.397,8.815,73.9,1.6712,3.75,38.1
1.6622,1.413,2.79,0.6356,1.747,1.4555,8.2785,7.7835,43.63,1119.3,9.3175,6.5,1.7252,7.755,17.74,3.8,8.4125,8.7865,74,1.675,3.8,38.1
1.657,1.46,2.678,0.634,1.747,1.4527,8.2784,7.784,43.63,1118.7,9.285,6.523,1.7199,7.787,16.2,3.8,8.436,8.84,73.9,1.681,3.75,38.6
1.641,1.443,2.513,0.637,1.754,1.4592,8.2786,7.7845,43.65,1119.2,9.272,6.4825,1.714,7.777,16.89,3.8,8.454,8.851,73.65,1.677,3.76,37.94
1.6247,1.326,2.338,0.6323,1.735,1.457,8.2787,7.7842,43.63,1123,9.2925,6.425,1.78,7.694,16.45,3.8,8.393,8.7235,73.65,1.6595,3.75,37.93
1.6297,1.353,2.22,0.6332,1.738,1.4575,8.2785,7.7848,43.65,112.2,9.3175,6.3875,1.735,7.7175,16.27,3.8,8.395,8.72,73.8,1.6661,3.75,37.85
1.6221,1.365,2.272,0.6336,1.749,1.4614,8.2781,7.7842,43.65,1121,9.313,6.435,1.768,7.7235,15.32,3.8,8.419,8.718,74.5,1.672,3.75,37.93
1.6287,1.369,2.392,0.6359,1.738,1.4632,8.278,7.7845,43.64,1118.4,9.319,6.44,1.795,7.7235,14.85,3.8,8.443,8.697,73.62,1.6715,3.74,37.87
1.6327,1.314,2.471,0.6357,1.742,1.468,8.2778,7.7847,43.65,1118.5,9.337,6.475,1.715,7.6855,15.58,3.8,8.417,8.6915,73.62,1.6618,3.75,38.16
1.6375,1.299,2.5,0.635,1.736,1.4724,8.2777,7.7846,43.58,1118,9.325,6.45,1.712,7.665,15.63,3.8,8.46,8.694,73.64,1.6593,3.815,37.96
1.6483,1.316,2.64,0.6367,1.737,1.4728,8.2785,7.7849,43.65,1117.3,9.322,6.47,1.7161,7.676,16.1,3.8,8.485,8.666,74,1.662,3.74,37.97
1.6488,1.299,2.683,0.6375,1.74,1.473,8.2786,7.7855,43.63,1118.18,9.321,6.492,1.72,7.667,16.5,3.8,8.421,8.6425,73.9,1.665,3.75,38.4
1.6393,1.36,2.396,0.6359,1.7395,1.4662,8.2783,7.7855,43.59,1117,9.3,6.484,1.7188,7.676,16.91,3.8,8.429,8.65,73.75,1.6615,3.78,37.9
1.6513,1.48,2.59,0.6367,1.729,1.472,8.2783,7.7858,43.65,1113,9.275,6.4575,1.7125,7.751,16.77,3.8,8.466,8.711,73.7,1.675,3.75,37.8
1.6554,1.319,2.513,0.6317,1.723,1.4727,8.2787,7.7858,43.65,111,9.2375,6.478,1.7115,7.6875,17.45,3.8,8.388,8.645,73.75,1.6522,3.75,37.75
1.6491,1.284,2.479,0.6285,1.73,1.465,8.2789,7.7845,43.65,118.7,9.1875,6.4835,1.716,7.6575,17.25,3.8,8.345,8.5775,73.74,1.6333,3.7,37.72
1.6356,1.368,2.276,0.637,1.736,1.465,8.2792,7.7855,43.62,1112.1,9.1825,6.465,1.716,7.719,17.13,3.8,8.46,8.6465,73.85,1.6468,3.65,37.8
1.6284,1.41,1.99,0.63,1.749,1.4541,8.2795,7.785,43.65,1112.5,9.184,6.49,1.715,7.747,15.9,3.8,8.39,8.5675,73.85,1.6551,3.64,37.8
1.6329,1.5,1.994,0.631,1.74,1.4555,8.2789,7.7865,43.65,119.4,9.235,6.5125,1.7168,7.819,15.6,3.8,8.45,8.6675,73.9,1.6725,3.6,37.79
1.6327,1.423,2.4,0.6281,1.753,1.4557,8.2788,7.7866,43.65,117.5,9.36,6.579,1.7194,7.763,15.53,3.8,8.45,8.633,73.85,1.665,3.6,37.88
1.6496,1.445,2.161,0.6281,1.742,1.4538,8.2787,7.7867,43.65,115.5,9.2895,6.535,1.712,7.775,12.73,3.8,8.435,8.635,73.85,1.663,3.48,37.85
1.6466,1.46,2.8,0.6258,1.742,1.4548,8.2786,7.7868,43.632,1113,9.29,6.565,1.7173,7.7895,14.82,3.8,8.464,8.678,73.85,1.6587,3.5,37.8
1.6578,1.43,1.9972,0.6264,1.745,1.4531,8.2791,7.7863,43.65,1114,9.312,6.56,1.7183,7.777,15.33,3.8,8.49,8.691,74.18,1.65,3.45,37.86
1.6521,1.366,1.9869,0.6289,1.755,1.4548,8.2795,7.7864,43.68,1115.5,9.395,6.625,1.716,7.7225,15,3.8,8.4425,8.6225,74.15,1.633,3.5,38.5
1.6622,1.438,1.996,0.6329,1.745,1.4515,8.2795,7.787,43.65,1112,9.364,6.575,1.715,7.774,14.78,3.8,8.476,8.661,74.18,1.639,3.48,38.5
1.6658,1.428,1.9988,0.6317,1.746,1.4574,8.2795,7.7878,43.67,117.5,9.3222,6.561,1.7162,7.767,15.33,3.8,8.482,8.642,74.15,1.6383,3.5,37.995
1.6692,1.43,2.6,0.6318,1.738,1.4615,8.2798,7.7875,43.66,111.5,9.29,6.555,1.719,7.765,16.37,3.8,8.52,8.61,74.5,1.6435,3.35,38.5
1.6787,1.426,2.64,0.63,1.7475,1.4635,8.2791,7.787,43.68,111,9.366,6.5925,1.72,7.767,16.95,3.8,8.526,8.634,74.1,1.6415,3.35,38.7
1.675,1.47,2.11,0.6296,1.748,1.4623,8.2796,7.7878,43.7,118.5,9.397,6.574,1.7193,7.797,15.86,3.8,8.533,8.72,74.5,1.649,3.35,38.5
1.677,1.5,2.88,0.6297,1.764,1.4661,8.2794,7.7879,43.7,117,9.399,6.5645,1.716,7.8225,15.76,3.8,8.546,8.723,74.5,1.652,3.35,37.85
1.6745,1.456,2.96,0.635,1.786,1.4767,8.2794,7.788,43.75,1111.2,9.51,6.5835,1.778,7.798,15.12,3.8,8.5435,8.7,74.4,1.648,3.45,37.9
1.6912,1.471,2.222,0.638,1.789,1.4855,8.2794,7.7882,43.68,1113.8,9.4825,6.621,1.769,7.7975,14.19,3.8,8.587,8.72,73.8,1.644,3.55,37.97
1.6818,1.552,2.19,0.6344,1.766,1.4837,8.279,7.7885,43.7,111,9.437,6.61,1.699,7.8615,14.59,3.8,8.631,8.744,74.25,1.663,3.6,37.92
1.6787,1.673,2.6,0.6338,1.766,1.4761,8.2793,7.7886,43.7,119.5,9.391,6.638,1.6992,7.9525,14.94,3.8,8.714,8.798,74.25,1.6755,3.62,37.98
1.6861,1.666,2.22,0.6329,1.781,1.4725,8.2791,7.7888,43.687,119,9.43,6.72,1.6978,7.9525,15.45,3.8,8.6925,8.8,73.85,1.6772,3.55,37.97
1.6878,1.662,2.263,0.6335,1.779,1.475,8.2785,7.7887,43.7,118.5,9.445,6.74,1.699,7.949,15.88,3.8,8.677,8.786,74,1.676,3.585,37.95
1.6821,1.643,2.218,0.6329,1.79,1.4763,8.2786,7.789,43.655,118.8,9.445,6.7325,1.72,7.923,15.66,3.8,8.673,8.78,74.2,1.6712,3.6,37.98
1.679,1.793,2.182,0.6334,1.79,1.4699,8.2791,7.7885,43.7,118.5,9.45,6.735,1.74,8.48,15.71,3.8,8.86,8.848,74.2,1.6985,3.65,38.4
1.6978,1.85,2.555,0.6331,1.799,1.4758,8.2795,7.789,43.7,118.1,9.49,6.85,1.755,8.875,16.46,3.8,8.8275,8.885,74.2,1.785,3.65,38.15
1.721,1.11,2.585,0.635,1.811,1.4792,8.2798,7.789,43.7,1111,9.454,6.865,1.77,8.29,16.36,3.8,8.9718,8.988,74.35,1.731,3.65,38.13
1.7132,1.12,2.597,0.6427,1.85,1.4818,8.2799,7.789,43.7,111,9.411,6.783,1.765,8.1935,17.98,3.8,8.959,8.967,74.55,1.725,3.67,38.9
1.7241,1.965,2.683,0.6428,1.87,1.4783,8.2799,7.789,43.67,111,9.335,6.785,1.79,8.1695,18.89,3.8,8.95,8.9183,74.4,1.7135,3.65,38.12
1.774,1.128,2.58,0.6414,1.8,1.4857,8.2799,7.7895,43.75,111.1,9.334,6.775,1.7178,8.221,18.63,3.8,8.9535,8.941,74.55,1.7185,3.68,38.35
1.6949,1.1247,2.45,0.648,1.816,1.4923,8.2799,7.79,43.73,111,9.3675,6.845,1.7215,8.385,19.14,3.8,9.71,9.77,74.5,1.7369,3.75,38.5
1.699,1.1227,2.375,0.6479,1.814,1.498,8.2799,7.79,43.67,1111.5,9.3965,6.9225,1.722,8.373,18.17,3.8,9.12,9.14,74.7,1.7353,3.72,38.51
1.6849,1.1169,2.437,0.6541,1.8125,1.498,8.2799,7.7898,43.7,1111,9.48,6.94,1.7222,8.3255,18.53,3.8,9.16,9.13,74.7,1.7323,3.68,38.55
1.736,1.1173,2.631,0.6532,1.85,1.4927,8.2798,7.7893,43.7,119.7,9.4825,6.94,1.7235,8.326,19.3,3.8,9.93,9.95,74.4,1.735,3.7,38.5
1.7159,1.183,2.877,0.653,1.875,1.4945,8.279,7.7899,43.7,119.5,9.4875,7.9,1.7295,8.261,19.61,3.8,9.51,9.592,74.5,1.7219,3.65,38.68
1.7197,1.993,2.942,0.6599,1.818,1.4955,8.2785,7.7898,44.3,119.2,9.572,7.755,1.729,8.198,19.33,3.8,9.45,9.575,74.8,1.715,3.73,38.71
1.7271,1.185,2.934,0.6668,1.82,1.49,8.2782,7.7898,44.44,1113,9.583,6.975,1.7263,8.2675,18.47,3.8,9.139,9.16,74.55,1.7252,3.76,39
1.7212,1.113,2.855,0.6591,1.83,1.4872,8.2778,7.79,44.15,1113.5,9.5627,7.4,1.7278,8.2177,18.74,3.8,9.115,9.92,74.6,1.79,3.75,38.9
1.7425,1.943,2.193,0.6633,1.845,1.4897,8.2777,7.7895,44.44,1114.9,9.576,7.4,1.7335,8.1656,19.48,3.8,8.963,9.63,75.1,1.733,3.83,39.35
1.7322,1.146,2.1142,0.6663,1.823,1.4862,8.2772,7.792,44.5,1115,9.58,7.725,1.7325,8.248,19.75,3.8,9.55,9.13,75.15,1.7152,3.84,39.45
1.759,1.121,2.1692,0.679,1.833,1.4992,8.2768,7.791,44.2,1115.6,9.555,7.1175,1.734,8.3645,19.53,3.8,9.152,9.21,75.1,1.7398,3.75,39.4
1.7535,1.1171,2.29,0.6749,1.831,1.57,8.2773,7.7915,44.3,1118.8,9.582,7.134,1.734,8.333,18.7,3.8,9.126,9.1323,75.15,1.7377,3.82,39.34
1.7458,1.1178,2.196,0.6732,1.843,1.4963,8.2768,7.7915,44,1122.5,9.627,7.18,1.7275,8.335,16.89,3.8,9.1375,9.1575,75.15,1.7347,3.79,39.3
1.7422,1.167,2.1772,0.678,1.854,1.4983,8.277,7.7918,44.2,1131.5,9.573,7.1175,1.7317,8.2565,17.2,3.8,9.117,9.222,75.5,1.7185,3.75,39.18
1.74,1.172,2.181,0.679,1.852,1.536,8.2768,7.792,44.15,1135,9.525,7.55,1.735,8.2455,16.72,3.8,9.153,9.21,75.1,1.7295,3.8,39.25
1.754,1.994,2.226,0.6777,1.853,1.585,8.2769,7.7919,44.25,1133.5,9.54,7.118,1.737,8.2,17.58,3.8,9.985,9.175,75.1,1.728,3.82,39.3
1.7544,1.123,2.191,0.68,1.846,1.557,8.2773,7.792,44.2,1129.9,9.585,7.1475,1.7328,8.22,17.48,3.8,9.16,9.165,75.5,1.721,3.85,39.15
1.7495,1.741,2.181,0.6723,1.841,1.545,8.2771,7.7922,44.4,1137.5,9.53,7.135,1.7343,8.6,17.18,3.8,8.919,9.1,75.25,1.6828,3.85,39.19
1.7337,1.737,2.1734,0.6689,1.8325,1.536,8.2772,7.7925,44.65,1137,9.52,7.515,1.7332,8.12,16.44,3.8,8.947,9.2,75.4,1.6885,3.96,39.25
1.7519,1.72,2.1872,0.6681,1.827,1.4977,8.2773,7.7927,44.65,113,9.511,6.9675,1.7345,7.998,17.74,3.8,8.926,8.987,74.77,1.6883,3.85,39.22
1.7479,1.745,2.1925,0.675,1.821,1.491,8.2771,7.792,44.65,1133,9.49,6.9875,1.732,8.225,18.74,3.8,8.94,8.968,75.3,1.6878,3.9,39.19
1.7271,1.62,2.1441,0.6632,1.87,1.4785,8.2771,7.7921,44.7,1125.2,9.5575,6.93,1.724,7.915,18.15,3.8,8.895,8.8245,75.2,1.668,3.85,38.92
1.726,1.559,2.139,0.667,1.794,1.4779,8.277,7.794,44.75,1118,9.547,6.925,1.725,7.881,17.44,3.8,8.749,8.85,75.35,1.663,3.83,38.81
1.6987,1.449,2.116,0.6564,1.793,1.478,8.2773,7.793,44.75,1117,9.675,6.945,1.725,7.799,15.64,3.8,8.662,8.711,75.25,1.643,3.83,38.84
1.6949,1.417,2.1186,0.6568,1.84,1.4785,8.2773,7.793,44.83,1113.2,9.784,6.9725,1.722,7.7771,15.5,3.8,8.6314,8.656,75.25,1.6365,3.8,38.92
1.713,1.473,2.1345,0.664,1.799,1.48,8.2775,7.7932,44.85,1116,9.9,7.475,1.725,7.813,15.86,3.8,8.694,8.758,75.4,1.641,3.8,39.1
1.753,1.498,2.1368,0.6632,1.825,1.4765,8.2772,7.7936,44.85,1115.5,9.9325,7.4,1.723,7.832,16.78,3.8,8.732,8.745,75.25,1.6443,3.8,39.12
1.6915,1.478,2.1245,0.6614,1.85,1.4765,8.2771,7.794,44.85,1113.4,9.857,7.28,1.7225,7.82,16.65,3.85,8.691,8.691,75.25,1.6356,3.8,39.5
1.6742,1.396,2.1186,0.669,1.812,1.4697,8.277,7.7936,44.8,1114.4,9.788,7.5,1.7213,7.755,16.79,3.8,8.6265,8.612,75.25,1.6255,3.8,38.99
1.6647,1.428,2.122,0.6656,1.8125,1.4695,8.2768,7.7925,44.72,1114.5,9.7875,6.93,1.7215,7.778,16.89,3.8,8.573,8.533,75.16,1.6318,3.8,39.7
1.6625,1.493,2.1322,0.6621,1.812,1.4758,8.2768,7.794,44.8,1115,9.847,6.9,1.7245,7.828,16.52,3.8,8.636,8.625,75.2,1.6386,3.85,39.7
1.6439,1.365,2.899,0.6594,1.88,1.478,8.2768,7.7942,44.83,1116.4,9.9235,6.83,1.7258,7.731,16.22,3.8,8.5755,8.615,75.2,1.6178,3.9,39.18
1.66,1.393,2.1142,0.6599,1.85,1.4657,8.2768,7.7936,44.85,1122.22,9.99,6.866,1.7322,7.7495,15.74,3.8,8.58,8.62,75.15,1.623,3.9,39.2
1.6565,1.464,2.148,0.6623,1.8,1.478,8.2772,7.7925,44.75,112,9.879,6.95,1.733,7.8,15.42,3.8,8.6225,8.6425,78.25,1.628,3.9,39.13
1.6595,1.576,2.144,0.668,1.815,1.4729,8.2772,7.793,44.7,1119.3,9.815,6.93,1.734,7.888,15.5,3.8,8.7,8.719,78.7,1.639,3.83,39.2
1.6686,1.641,2.1151,0.6618,1.813,1.4725,8.2771,7.792,44.7,1118.8,9.879,6.919,1.7345,7.9375,14.4,3.8,8.738,8.85,78.83,1.6455,3.8,39.25
1.6767,1.686,2.129,0.6662,1.822,1.4793,8.2769,7.791,44.75,1119.5,9.975,6.88,1.7325,7.968,14.59,3.8,8.739,8.85,78.9,1.6565,3.8,39.1
1.6764,1.659,2.1299,0.6671,1.828,1.483,8.2773,7.792,44.75,1118.2,1.23,6.878,1.7341,7.9495,15.66,3.8,8.758,8.891,78.9,1.651,3.81,39.13
1.6633,1.589,2.1186,0.6667,1.823,1.4825,8.2774,7.795,44.7,1118.3,1.87,6.8175,1.7343,7.8999,15.53,3.8,8.6947,8.8725,79,1.6379,3.82,39.17
1.663,1.589,2.155,0.6619,1.82,1.4838,8.2775,7.7955,44.72,1116.5,9.9685,6.81,1.735,7.898,15.51,3.8,8.652,8.864,79,1.642,3.82,39.16
1.6586,1.51,2.1313,0.6582,1.817,1.482,8.278,7.7953,44.73,1115,9.888,6.8225,1.7345,7.845,15.9,3.8,8.59,8.822,79.2,1.6375,3.83,39.2
1.6748,1.477,2.1322,0.669,1.84,1.4798,8.2782,7.796,44.7,1115.15,9.843,6.79,1.7275,7.82,16.14,3.8,8.581,8.821,79.2,1.6317,3.8,39.2
1.6678,1.498,2.139,0.667,1.89,1.4793,8.2786,7.796,44.72,1113.9,9.5525,6.8125,1.7327,7.83,15.64,3.8,8.588,8.7925,79.25,1.6323,3.83,39.39
1.6929,1.473,2.171,0.6614,1.85,1.499,8.2787,7.7962,44.69,1117.5,9.515,6.785,1.738,7.818,16.91,3.8,8.588,8.83,79.35,1.622,3.85,39.6
1.6923,1.496,2.1716,0.6614,1.798,1.485,8.2791,7.7964,44.81,1117.5,9.557,6.85,1.7367,7.833,17.37,3.8,8.6,8.866,79.35,1.625,3.88,39.6
1.6946,1.544,2.1716,0.664,1.799,1.481,8.2793,7.7968,44.78,1119,9.58,6.845,1.737,7.8675,17.81,3.8,8.5925,8.915,79.35,1.6278,3.88,39.75
1.6915,1.53,2.1687,0.666,1.8,1.4798,8.2795,7.7965,44.75,1118.5,9.5,6.825,1.7385,7.8425,17.1,3.8,8.5825,8.8855,79.35,1.6275,3.9,39.92
1.6975,1.53,2.1753,0.665,1.799,1.4785,8.2794,7.7961,44.75,1116.7,9.439,6.81,1.7435,7.859,16.93,3.8,8.692,8.896,79.25,1.6335,3.9,4.1
1.6978,1.637,2.1763,0.6637,1.85,1.4815,8.2795,7.796,44.75,1115.7,9.4815,6.835,1.7435,7.935,18.36,3.8,8.673,8.8925,79.3,1.651,3.9,4.3
1.779,1.78,2.1753,0.6671,1.89,1.489,8.2791,7.796,44.78,1111.3,9.4375,6.845,1.7435,7.9797,18.27,3.8,8.729,8.941,79.3,1.668,3.9,39.98
1.713,1.668,2.1683,0.6671,1.812,1.4845,8.2796,7.7965,44.78,1113,9.424,6.89,1.7432,7.959,17.88,3.8,8.698,8.898,79.3,1.6532,3.9,4.5
1.779,1.694,2.1839,0.672,1.8,1.4813,8.2791,7.7973,44.74,1113.1,9.342,6.9275,1.7478,7.972,18.53,3.8,8.75,8.968,78.75,1.6575,3.96,4.31
1.7112,1.727,2.1853,0.6691,1.798,1.4783,8.2796,7.7968,44.83,1113.7,9.3385,6.9475,1.7465,7.998,18.3,3.8,8.79,9,78.58,1.668,31,4.25
1.7391,1.826,2.226,0.6693,1.87,1.4758,8.2796,7.797,44.85,1112.3,9.415,6.98,1.746,8.7,18.2,3.8,8.854,9.81,78.5,1.6781,31.8,4.17
1.7194,1.762,2.1697,0.6625,1.815,1.4748,8.2796,7.797,45.2,1111.6,9.38,6.9225,1.7458,8.235,17.89,3.8,8.81,9.2,78.52,1.668,31.13,4.23
